"Category","Reviews","Installs","Size","Price","Content.Rating"
2,5865,7,69,34,2
2,73771,6,194,34,2
2,108137,9,19,34,2
3,64,10,19,23,2
3,74,2,19,6,2
3,18,2,19,32,3
3,14,2,19,6,2
3,55,2,32,15,2
2,748,7,22,34,2
2,114575,9,136,34,2
2,41548,1,136,34,2
2,23604,9,194,34,2
2,627,7,175,34,2
3,2295,13,42,34,5
2,1430,7,192,34,2
2,32409,1,194,34,2
3,18025,1,194,34,2
3,18206,16,40,34,2
2,181099,1,194,34,2
3,21337,1,39,34,2
2,79424,1,194,34,2
2,22506,3,44,34,2
2,28545,16,23,34,2
2,329031,3,18,34,2
2,1947,7,74,34,2
2,28657,1,113,34,2
2,2770,7,46,34,4
2,21247,1,20,34,2
3,39,10,15,34,2
3,14,17,17,34,2
2,723,7,68,34,5
3,726,13,168,34,2
3,589,4,90,34,2
3,330,4,91,34,2
3,286,4,91,34,2
3,6246,16,107,34,2
3,23,10,91,34,2
3,2041,7,88,34,2
3,209,4,124,34,2
3,3894,16,61,34,4
3,2208,7,118,34,2
3,128,4,121,34,2
3,16151,16,23,34,2
3,27986,1,77,34,2
2,7070,16,171,34,2
2,2418,7,110,34,2
2,19235,1,88,34,2
2,42242,1,116,34,2
3,9,2,44,34,2
3,41,2,106,34,2
3,24,2,45,4,2
3,114,10,63,4,2
3,29,2,43,1,2
3,448,13,61,34,2
3,61,10,60,4,2
3,447,7,36,34,2
3,660,7,152,34,2
2,11,10,19,34,2
3,54,4,15,34,2
2,6,2,164,34,2
2,9,17,19,27,2
2,936,13,53,34,2
2,3043,16,142,34,2
2,21951,1,16,34,2
2,6390,7,92,34,2
2,118,13,120,34,2
2,15642,1,194,34,2
2,4668,7,42,34,2
3,510,7,1,34,2
2,8138,16,18,34,2
2,28275,1,194,34,2
2,9354,1,19,34,2
2,8687,1,194,34,2
2,122239,3,128,34,2
2,851,7,121,34,2
2,1493,7,59,34,2
2,77,2,15,34,2
3,2,17,46,34,2
3,2394,7,64,34,2
3,463,13,44,34,2
2,1222,7,177,34,2
3,970,13,62,34,2
3,29410,1,194,34,2
3,212,13,69,34,2
3,3036,13,87,34,2
3,12166,1,194,34,2
3,82,4,25,34,2
3,52846,9,49,34,2
3,1381,7,46,34,2
3,33,4,40,34,2
3,25,4,22,34,2
3,138,13,40,34,2
2,103,10,82,13,2
2,254,4,31,34,2
2,748,7,148,34,2
2,620,7,29,34,2
2,5674,7,75,34,2
3,9993,16,19,34,2
3,601,7,82,34,2
3,13995,7,164,34,2
2,347512,3,135,34,2
2,1230,7,38,34,2
2,32594,1,64,34,2
3,7588,16,194,34,2
2,858492,3,109,34,2
3,125183,1,78,34,2
3,502,13,82,34,2
2,208,7,181,34,2
3,15,11,101,34,2
3,140,4,55,34,2
2,1231,13,15,34,2
2,6676,16,55,34,2
2,56266,1,15,34,2
